"id","G","region","age_band","income","credit_score","employment_yrs","score","Y","Yhat","ZG"
1214,1,1,"51+",55443,684,8.2,0.9425,0,1,3
1215,1,0,"31-50",40257,614,2.5,0.3446,1,0,2
1216,0,1,"18-30",24735,571,2.8,0.0416,0,0,1
1217,1,1,"31-50",48594,722,5.4,0.6638,1,1,3
1218,0,1,"31-50",31552,638,14.8,0.7147,1,1,1
1219,1,1,"51+",43858,465,5.8,0.0623,0,0,3
1220,0,1,"31-50",47948,527,2.7,0.0891,0,0,1
1221,1,1,"31-50",46393,734,10.5,0.9411,1,1,3
1222,1,0,"18-30",28012,670,14,0.6282,0,1,2
1223,1,0,"31-50",52078,780,4.4,0.9373,1,1,2
1224,0,1,"51+",39897,597,5.3,0.3101,0,0,1
1225,0,0,"51+",33178,759,8.7,0.8016,0,1,0
1226,1,1,"31-50",34630,666,3.4,0.4896,0,0,3
1227,1,1,"31-50",39698,570,8.5,0.1358,0,0,3
1228,1,1,"31-50",29643,643,0.1,0.1544,0,0,3
1229,0,1,"31-50",16081,598,5.6,0.0252,0,0,1
1230,1,0,"51+",33756,545,4,0.099,0,0,2
1231,1,0,"31-50",39719,663,4.4,0.3908,1,0,2
1232,1,1,"31-50",30186,773,9.1,0.7133,1,1,3
1233,1,0,"31-50",22112,700,6.3,0.2191,0,0,2
1234,0,1,"31-50",38701,618,6.4,0.2574,0,0,1
1235,1,0,"18-30",33756,639,3.7,0.2004,0,0,2
1236,1,1,"18-30",40369,752,8.8,0.8648,1,1,3
1237,1,0,"31-50",20731,711,7.8,0.3198,0,0,2
1238,0,0,"31-50",40370,582,4.8,0.1251,0,0,0
1239,0,0,"31-50",26670,691,3.4,0.2396,1,0,0
1240,1,0,"31-50",49630,717,10.4,0.89,1,1,2
1241,1,0,"31-50",40528,622,8.6,0.5007,0,1,2
1242,1,0,"31-50",41699,659,4.2,0.6762,0,1,2
1243,0,1,"18-30",36378,692,12.7,0.6357,1,1,1
1244,1,0,"51+",39149,558,5.8,0.0831,0,0,2
1245,0,1,"31-50",39204,652,11.5,0.7311,0,1,1
1246,1,1,"31-50",55310,584,8.3,0.7263,1,1,3
1247,0,0,"51+",36479,555,3.4,0.0496,0,0,0
1248,1,0,"18-30",38970,718,1.6,0.6721,0,1,2
1249,1,1,"51+",38303,642,3.2,0.1664,0,0,3
1250,0,0,"51+",24455,670,6.9,0.3262,0,0,0
1251,0,1,"51+",35403,708,7.5,0.563,0,1,1
1252,1,1,"31-50",28726,754,4.4,0.5984,0,1,3
1253,0,0,"31-50",25257,539,6.5,0.0447,0,0,0
1254,1,0,"31-50",51315,622,13.1,0.8306,1,1,2
1255,1,0,"18-30",27722,615,7.9,0.1423,0,0,2
1256,0,0,"51+",51049,618,7.2,0.6024,0,1,0
1257,1,0,"31-50",45614,768,9.9,0.957,1,1,2
1258,1,0,"31-50",54120,660,13.6,0.7944,1,1,2
1259,0,0,"31-50",37622,514,0,0.0556,0,0,0
1260,0,0,"51+",32496,583,2,0.0436,0,0,0
1261,1,0,"31-50",53517,705,0.9,0.9036,0,1,2
1262,0,0,"18-30",34162,566,2.6,0.0778,0,0,0
1263,1,1,"51+",36634,613,10.9,0.2979,0,0,3
1264,1,0,"31-50",35360,777,9.4,0.7684,1,1,2
1265,0,0,"31-50",29635,573,7.9,0.0954,0,0,0
1266,1,0,"31-50",43592,612,8.5,0.5114,1,1,2
1267,0,0,"18-30",37158,666,4.2,0.2845,1,0,0
1268,0,0,"31-50",34515,707,6.7,0.5428,1,1,0
1269,1,0,"31-50",25396,653,9,0.1538,0,0,2
1270,0,1,"18-30",25064,643,11.6,0.3748,1,0,1
1271,1,0,"31-50",21881,761,4.9,0.4789,1,0,2
1272,0,1,"18-30",24239,606,11.6,0.2387,0,0,1
1273,1,0,"51+",54791,627,10.6,0.7254,0,1,2
1274,0,1,"31-50",46176,664,9.7,0.4352,0,0,1
1275,0,0,"18-30",28199,737,6.9,0.6707,0,1,0
1276,0,1,"51+",43982,580,1.3,0.1965,0,0,1
1277,0,0,"18-30",32903,731,8.7,0.7672,1,1,0
1278,0,0,"18-30",32557,626,4,0.0927,0,0,0
1279,1,0,"18-30",48426,649,7.1,0.5766,0,1,2
1280,1,1,"31-50",38966,745,15.7,0.8606,1,1,3
1281,1,0,"18-30",49669,764,1,0.7619,1,1,2
1282,0,1,"31-50",36346,574,8.3,0.4626,0,0,1
1283,0,1,"51+",26138,585,19,0.26,1,0,1
1284,0,0,"51+",37251,620,14.9,0.5779,1,1,0
1285,0,1,"18-30",33707,571,0,0.0359,0,0,1
1286,1,0,"31-50",35872,595,4.3,0.0934,0,0,2
1287,0,0,"51+",32347,679,0,0.1035,0,0,0
1288,1,0,"51+",40076,688,8.9,0.3313,0,0,2
1289,1,0,"31-50",45022,674,7.2,0.6632,1,1,2
1290,1,0,"31-50",40570,674,2.5,0.443,0,0,2
1291,0,1,"18-30",35671,731,10.3,0.5899,1,1,1
1292,1,0,"18-30",29803,674,0,0.2202,1,0,2
1293,1,1,"18-30",38499,721,7.7,0.7227,0,1,3
1294,0,1,"51+",33145,651,6.9,0.262,0,0,1
1295,1,1,"18-30",37118,636,9.1,0.3909,0,0,3
1296,1,0,"31-50",36773,695,9.6,0.6415,0,1,2
1297,0,0,"18-30",34083,729,8.9,0.3966,0,0,0
1298,0,1,"18-30",34018,595,3.4,0.1262,1,0,1
1299,0,1,"31-50",37804,686,7.2,0.4227,1,0,1
1300,0,1,"31-50",45513,574,7.4,0.1383,0,0,1
1301,1,1,"31-50",38245,622,13.9,0.6125,1,1,3
1302,1,0,"51+",37875,686,6.1,0.5571,0,1,2
1303,1,0,"51+",56888,705,5.9,0.9589,1,1,2
1304,0,0,"18-30",30728,772,2.3,0.6001,1,1,0
1305,0,0,"31-50",29564,612,19.9,0.4994,0,0,0
1306,0,0,"18-30",38092,549,11.1,0.1434,0,0,0
1307,1,0,"51+",38896,714,14.7,0.7465,0,1,2
1308,1,0,"18-30",43847,570,5.2,0.2337,0,0,2
1309,0,0,"31-50",40187,618,3.7,0.4231,1,0,0
1310,1,0,"31-50",62369,712,4.9,0.929,1,1,2
1311,1,0,"31-50",49837,620,13.2,0.6029,0,1,2
1312,1,0,"18-30",47542,747,11.3,0.9069,1,1,2
1313,0,1,"51+",36454,524,13,0.1727,1,0,1
1314,1,1,"51+",36817,478,11.2,0.0393,0,0,3
1315,0,1,"18-30",34402,764,8.1,0.6633,1,1,1
1316,1,1,"31-50",31751,720,11.1,0.7615,1,1,3
1317,0,0,"51+",40502,765,5,0.4908,0,0,0
1318,1,1,"51+",45051,699,20.4,0.9823,0,1,3
1319,1,1,"31-50",50282,670,11.4,0.8333,0,1,3
1320,1,0,"31-50",31993,695,2.9,0.1714,1,0,2
1321,0,1,"18-30",31908,592,10.5,0.3278,0,0,1
1322,1,1,"31-50",32209,766,6.4,0.6614,1,1,3
1323,0,0,"31-50",32315,606,10.2,0.1212,0,0,0
1324,1,1,"31-50",41697,647,5.2,0.4656,1,0,3
1325,0,1,"51+",40643,582,11.6,0.3059,0,0,1
1326,1,1,"31-50",42397,697,5.3,0.5619,1,1,3
1327,1,0,"51+",35042,583,12.9,0.365,1,0,2
1328,1,1,"31-50",39285,657,5.4,0.5021,0,1,3
1329,1,0,"18-30",32309,506,13.4,0.1223,0,0,2
1330,0,0,"31-50",37257,657,7.9,0.4679,0,0,0
1331,1,0,"31-50",44565,708,7.3,0.6393,1,1,2
1332,1,1,"31-50",29982,744,5.4,0.6529,1,1,3
1333,0,0,"51+",40121,589,2.8,0.1688,0,0,0
1334,0,0,"31-50",41479,527,5.5,0.1181,0,0,0
1335,1,0,"51+",45215,787,0,0.9231,1,1,2
1336,1,0,"51+",47025,548,10.6,0.463,0,0,2
1337,0,1,"31-50",26459,750,5.9,0.3657,0,0,1
1338,0,1,"31-50",26857,565,8.8,0.0591,0,0,1
1339,0,0,"51+",44606,675,6.6,0.719,1,1,0
1340,1,0,"31-50",45826,675,5.8,0.8081,1,1,2
1341,1,0,"51+",37557,662,23,0.9066,1,1,2
1342,1,1,"18-30",44788,609,9.3,0.5824,0,1,3
1343,1,0,"31-50",54495,624,7.9,0.7141,1,1,2
1344,1,0,"51+",41505,622,2.7,0.4005,0,0,2
1345,0,0,"51+",30771,683,5.5,0.2814,1,0,0
1346,0,0,"18-30",29349,673,7.7,0.2295,0,0,0
1347,1,1,"51+",30786,644,10.5,0.4943,0,0,3
1348,0,1,"18-30",35643,658,8,0.4981,1,0,1
1349,1,0,"31-50",44082,701,0,0.5219,1,1,2
1350,0,0,"31-50",35377,618,5.3,0.4009,0,0,0
1351,1,0,"51+",42821,642,17.1,0.4875,1,0,2
1352,1,1,"18-30",38790,765,6.7,0.8807,0,1,3
1353,1,0,"18-30",43765,516,5.5,0.1269,0,0,2
1354,1,1,"31-50",33376,686,8.6,0.6019,0,1,3
1355,1,1,"31-50",38225,788,6.6,0.7406,1,1,3
1356,1,0,"51+",39685,630,10.9,0.5148,0,1,2
1357,1,1,"31-50",50579,616,9,0.5578,1,1,3
1358,0,1,"51+",17525,689,5,0.2111,0,0,1
1359,1,1,"31-50",58186,746,2.5,0.9579,1,1,3
1360,1,0,"18-30",34397,619,5.8,0.2524,0,0,2
1361,0,1,"18-30",42634,715,13,0.6601,1,1,1
1362,1,1,"18-30",37878,598,13.2,0.4738,1,0,3
1363,0,1,"51+",31707,598,5.4,0.3795,0,0,1
1364,1,1,"31-50",38959,718,5,0.6635,1,1,3
1365,1,1,"18-30",20500,718,8.8,0.3489,1,0,3
1366,1,0,"31-50",63013,704,7.3,0.9554,1,1,2
1367,1,0,"18-30",42063,602,0.1,0.3248,0,0,2
1368,0,0,"51+",39361,707,1.8,0.466,0,0,0
1369,1,0,"51+",35244,696,11.6,0.4227,1,0,2
1370,1,0,"31-50",34220,787,8.7,0.7213,1,1,2
1371,1,1,"18-30",50830,629,8.9,0.7633,1,1,3
1372,1,0,"18-30",46321,803,8.9,0.9811,1,1,2
1373,1,0,"31-50",48946,679,3.9,0.4457,0,0,2
1374,0,1,"31-50",31477,788,9.5,0.7482,1,1,1
1375,0,0,"31-50",23319,578,6.6,0.0426,0,0,0
1376,0,0,"18-30",29140,593,14.5,0.2466,0,0,0
1377,1,1,"31-50",53308,680,9.4,0.8473,1,1,3
1378,0,1,"51+",21442,610,9.5,0.089,0,0,1
1379,1,0,"31-50",54153,632,8.8,0.89,1,1,2
1380,0,0,"18-30",30076,743,3.1,0.3636,1,0,0
1381,1,0,"31-50",27461,607,13.1,0.3004,0,0,2
1382,1,1,"51+",30902,792,9.5,0.7877,1,1,3
1383,0,0,"18-30",36798,645,8.4,0.3953,0,0,0
1384,1,0,"51+",37707,666,14.3,0.4563,1,0,2
1385,0,1,"51+",13271,556,9.5,0.0204,0,0,1
1386,1,0,"18-30",37055,676,2.7,0.4142,1,0,2
1387,1,1,"31-50",52567,613,2,0.4936,0,0,3
1388,0,1,"31-50",31260,809,7.6,0.8814,1,1,1
1389,1,0,"18-30",52401,630,14.8,0.8219,1,1,2
1390,1,0,"18-30",34533,692,6.6,0.7193,1,1,2
1391,0,1,"31-50",39921,647,8,0.6331,0,1,1
1392,0,0,"51+",31219,676,8.1,0.5007,0,1,0
1393,1,1,"31-50",47262,593,10.8,0.4104,1,0,3
1394,1,0,"31-50",25209,558,11.7,0.2678,1,0,2
1395,1,0,"18-30",41629,748,11.7,0.8576,1,1,2
1396,0,0,"51+",44855,685,9.7,0.7243,0,1,0
1397,0,0,"18-30",27244,762,5.7,0.4195,1,0,0
1398,1,1,"18-30",53256,711,7.9,0.8786,1,1,3
1399,1,0,"31-50",36763,735,10.2,0.7492,1,1,2
1400,1,0,"18-30",35504,785,12.1,0.7323,1,1,2
1401,1,0,"31-50",31125,729,10.9,0.8418,1,1,2
1402,1,0,"31-50",44549,704,10.2,0.7614,1,1,2
1403,1,1,"18-30",31148,605,16.1,0.5146,1,1,3
1404,1,1,"31-50",28697,680,9.3,0.5914,0,1,3
1405,1,0,"31-50",37974,713,9,0.7797,0,1,2
1406,0,0,"31-50",20057,672,8.8,0.3776,0,0,0
1407,1,1,"31-50",32902,624,12.3,0.2264,1,0,3
1408,0,0,"51+",49598,561,11.4,0.3819,0,0,0
1409,1,0,"51+",40377,719,6.9,0.6922,1,1,2
1410,0,0,"51+",40856,636,13.6,0.5425,0,1,0
1411,0,1,"18-30",21024,649,4.3,0.0971,0,0,1
1412,0,1,"18-30",16591,686,7.3,0.1317,0,0,1
1413,0,0,"31-50",41677,621,1.6,0.2253,1,0,0
1414,1,0,"31-50",40784,748,6,0.6448,0,1,2
1415,1,1,"31-50",52973,628,6.3,0.7307,0,1,3
1416,0,1,"18-30",42348,628,4.4,0.2618,1,0,1
1417,0,0,"51+",16224,756,5.2,0.1286,0,0,0
1418,1,0,"31-50",49623,689,11.6,0.8817,0,1,2
1419,0,1,"31-50",25855,641,2.4,0.0896,0,0,1
1420,1,1,"51+",39300,618,5.8,0.4092,1,0,3
1421,0,1,"18-30",36084,553,9.8,0.0873,0,0,1
1422,0,1,"51+",28539,656,0.2,0.1552,1,0,1
1423,1,1,"51+",33864,685,11,0.4962,1,0,3
1424,0,0,"31-50",34094,745,5.1,0.6277,1,1,0
1425,1,1,"31-50",42159,643,11.4,0.7926,1,1,3
1426,1,0,"31-50",27222,688,3.3,0.3419,0,0,2
1427,1,1,"51+",54177,663,5.8,0.8452,1,1,3
1428,0,1,"51+",44776,735,6.8,0.8827,1,1,1
1429,0,1,"31-50",31355,603,5.9,0.1309,0,0,1
1430,1,0,"18-30",26461,698,4.3,0.2271,0,0,2
1431,0,1,"31-50",42198,737,8.6,0.6546,1,1,1
1432,1,0,"18-30",56143,724,10.2,0.9503,1,1,2
1433,0,1,"18-30",25060,694,12.7,0.5587,0,1,1
1434,0,1,"31-50",35299,614,11.4,0.1115,1,0,1
1435,1,1,"51+",28348,704,5.3,0.54,0,1,3
1436,1,1,"18-30",36001,594,7.7,0.3859,0,0,3
1437,0,1,"31-50",39028,675,11.4,0.6744,1,1,1
1438,0,0,"18-30",22403,667,2.1,0.1304,0,0,0
1439,0,1,"31-50",25227,682,0.9,0.2024,0,0,1
1440,1,0,"18-30",37176,734,9.6,0.881,1,1,2
1441,1,1,"51+",35659,731,4.8,0.6229,0,1,3
1442,0,0,"18-30",34143,727,9,0.6268,0,1,0
1443,1,1,"31-50",39065,630,17.9,0.4459,1,0,3
1444,1,1,"31-50",24291,638,11.9,0.5505,1,1,3
1445,0,0,"31-50",23762,682,9.7,0.2149,0,0,0
1446,0,1,"31-50",35175,700,5.9,0.3274,1,0,1
1447,1,1,"31-50",43744,590,14.5,0.555,0,1,3
1448,1,1,"18-30",51595,661,2.7,0.8091,1,1,3
1449,1,1,"31-50",44696,581,12.2,0.7008,1,1,3
1450,1,1,"31-50",39806,666,12.7,0.7208,1,1,3
1451,0,0,"31-50",38847,715,1.2,0.503,1,1,0
1452,0,0,"51+",25213,638,3.1,0.0804,0,0,0
1453,0,1,"51+",15719,562,2.1,0.0121,0,0,1
1454,1,1,"31-50",38048,557,10,0.1095,0,0,3
1455,0,0,"18-30",31648,780,10.6,0.7165,1,1,0
1456,0,1,"31-50",27429,498,4.1,0.0315,0,0,1
1457,1,0,"51+",22043,621,12.9,0.3118,0,0,2
1458,0,1,"18-30",23073,596,4.2,0.0405,0,0,1
1459,0,1,"51+",45938,622,0.3,0.2639,0,0,1
1460,1,1,"18-30",31077,672,4.4,0.1903,0,0,3
1461,0,0,"51+",33821,608,10.8,0.3739,1,0,0
1462,0,0,"51+",31272,694,7.5,0.4509,0,0,0
1463,0,1,"51+",47492,734,7.2,0.8141,1,1,1
1464,1,1,"18-30",41153,619,10,0.5511,0,1,3
1465,1,0,"31-50",56218,720,5.2,0.9076,1,1,2
1466,0,1,"18-30",42360,634,11.4,0.3971,1,0,1
1467,0,0,"51+",21620,553,4.6,0.0297,0,0,0
1468,1,1,"31-50",40866,565,6.1,0.2994,0,0,3
1469,1,0,"31-50",43665,600,4.3,0.3335,1,0,2
1470,1,0,"31-50",34948,606,5.9,0.2285,0,0,2
1471,0,0,"18-30",30914,765,11.4,0.7469,1,1,0
1472,1,0,"51+",40221,612,11.6,0.3685,1,0,2
1473,0,0,"51+",18577,595,6.6,0.0596,0,0,0
1474,1,1,"31-50",22881,781,5.2,0.5384,1,1,3
1475,1,0,"51+",34250,594,7.7,0.3546,0,0,2
1476,0,0,"31-50",37490,655,3.1,0.2661,0,0,0
1477,1,1,"18-30",49030,555,6.7,0.3911,0,0,3
1478,0,1,"18-30",14597,536,4.2,0.0157,0,0,1
1479,0,0,"51+",32269,522,6.2,0.025,0,0,0
1480,0,1,"31-50",26699,650,5.1,0.0491,0,0,1
1481,0,0,"31-50",29243,613,6.2,0.2259,0,0,0
1482,1,0,"31-50",47928,678,10.1,0.8729,1,1,2
1483,0,0,"31-50",50115,651,8.7,0.5484,0,1,0
1484,0,0,"18-30",31359,686,5.2,0.1362,0,0,0
1485,0,1,"18-30",34388,605,9.9,0.1535,0,0,1
1486,1,1,"31-50",26002,818,0.4,0.4983,1,0,3
1487,0,0,"18-30",56033,743,12.2,0.9311,1,1,0
1488,1,1,"31-50",39749,631,13,0.4861,0,0,3
1489,0,0,"31-50",39686,599,9.9,0.2529,1,0,0
1490,0,1,"51+",37691,597,8.2,0.1329,1,0,1
1491,1,1,"31-50",29925,850,4.3,0.8086,1,1,3
1492,1,1,"51+",41311,535,2,0.1463,1,0,3
1493,0,1,"31-50",23469,664,11,0.2145,1,0,1
1494,0,0,"31-50",34796,551,7.1,0.2634,0,0,0
1495,1,1,"51+",42474,597,15,0.6228,1,1,3
1496,0,1,"18-30",26239,697,4.1,0.2999,1,0,1
1497,0,0,"51+",23000,709,2.7,0.0461,0,0,0
1498,1,1,"18-30",40485,646,5.1,0.5246,0,1,3
1499,0,1,"31-50",34802,661,6.3,0.2819,1,0,1
1500,1,0,"18-30",40852,645,3.1,0.4601,1,0,2
1501,0,1,"51+",49453,576,15.1,0.6287,1,1,1
1502,0,1,"31-50",29068,660,1,0.0923,0,0,1
1503,1,0,"18-30",35499,598,1.7,0.205,1,0,2
1504,1,0,"31-50",32080,689,6.8,0.5236,1,1,2
1505,0,1,"51+",55850,678,3.9,0.7295,0,1,1
1506,0,0,"51+",28227,675,2.5,0.2596,0,0,0
1507,0,1,"31-50",44668,771,17.3,0.9145,1,1,1
1508,1,1,"51+",30240,632,4.2,0.2927,0,0,3
1509,1,0,"18-30",51214,685,12.8,0.8594,1,1,2
1510,0,1,"51+",36658,595,12.7,0.3445,0,0,1
1511,1,1,"18-30",33452,700,6.1,0.3895,0,0,3
1512,0,1,"18-30",36463,643,9.6,0.7496,0,1,1
1513,0,1,"18-30",43069,617,0.2,0.1592,0,0,1
1514,1,0,"51+",47462,805,6.4,0.9245,1,1,2
1515,1,1,"51+",41793,580,5.8,0.1039,0,0,3
1516,1,0,"51+",36658,611,10,0.346,1,0,2
1517,1,0,"31-50",26797,597,13.6,0.1416,0,0,2
1518,1,1,"18-30",32165,817,2.5,0.7901,1,1,3
1519,1,0,"31-50",31137,690,13.9,0.7279,0,1,2
1520,1,0,"31-50",44887,725,15.2,0.8692,1,1,2
1521,0,0,"31-50",30578,703,5.8,0.4407,0,0,0
1522,1,1,"31-50",43945,651,1.7,0.3396,1,0,3
1523,0,1,"51+",40162,607,9.2,0.3379,0,0,1
1524,1,0,"31-50",47087,701,8.4,0.6777,0,1,2
1525,0,1,"31-50",48702,729,3.8,0.7903,1,1,1
1526,1,0,"31-50",36781,495,15.6,0.1214,1,0,2
1527,1,1,"31-50",37442,756,5.1,0.8779,1,1,3
1528,1,1,"51+",34490,637,8.9,0.2429,0,0,3
1529,0,0,"18-30",44569,601,8.7,0.593,0,1,0
1530,1,1,"18-30",36609,703,1.9,0.1978,0,0,3
1531,0,0,"18-30",33546,688,12.8,0.4338,1,0,0
1532,0,1,"31-50",29154,729,14.4,0.758,1,1,1
1533,0,1,"51+",31948,680,9.2,0.5962,1,1,1
1534,1,1,"18-30",42410,758,12.7,0.9236,1,1,3
1535,1,0,"18-30",32491,689,5.6,0.2657,1,0,2
1536,1,1,"31-50",47542,712,6.8,0.8312,1,1,3
1537,1,0,"18-30",30623,700,10.2,0.6999,1,1,2
1538,1,1,"31-50",46815,607,9.3,0.4089,0,0,3
1539,0,0,"18-30",28537,599,3.7,0.0361,0,0,0
1540,1,0,"51+",32721,682,8.3,0.7312,0,1,2
1541,1,0,"51+",49242,588,13,0.6944,1,1,2
1542,0,1,"18-30",33898,676,4.1,0.1974,0,0,1
1543,1,0,"51+",41716,709,6,0.8531,0,1,2
1544,0,1,"18-30",45313,659,2.6,0.6979,1,1,1
1545,0,0,"31-50",40178,683,10,0.679,0,1,0
1546,1,0,"51+",39345,712,4.8,0.5466,0,1,2
1547,1,0,"31-50",32393,589,10.3,0.2626,0,0,2
1548,1,0,"31-50",42113,670,4.1,0.5153,0,1,2
1549,0,0,"51+",31002,690,2.9,0.4068,1,0,0
1550,0,1,"51+",40641,618,6.7,0.4479,0,0,1
1551,0,0,"31-50",25010,688,2.1,0.169,0,0,0
1552,1,1,"18-30",34498,696,13.9,0.5542,1,1,3
1553,1,1,"31-50",62845,559,9.2,0.6307,1,1,3
1554,1,1,"31-50",50703,695,6.7,0.9344,0,1,3
1555,1,0,"18-30",31471,721,2.4,0.3855,1,0,2
1556,1,1,"31-50",35931,760,0,0.7113,1,1,3
1557,0,0,"18-30",33110,585,13,0.3476,1,0,0
1558,1,0,"31-50",34021,667,15.2,0.6301,1,1,2
1559,1,0,"31-50",47036,579,11.4,0.501,0,1,2
1560,0,0,"31-50",35998,673,3.1,0.3165,1,0,0
1561,0,0,"51+",46710,660,12.7,0.8343,0,1,0
1562,1,0,"51+",39136,634,11.3,0.6934,0,1,2
1563,0,0,"51+",41129,571,1.7,0.0536,0,0,0
1564,1,0,"18-30",42747,646,15.2,0.766,1,1,2
1565,1,0,"51+",28685,697,1.1,0.4905,0,0,2
1566,1,0,"31-50",28801,495,0.3,0.0444,0,0,2
1567,1,0,"31-50",40640,738,10.1,0.5093,1,1,2
1568,0,1,"51+",19816,661,2.5,0.0552,0,0,1
1569,1,0,"18-30",32538,658,0,0.2341,0,0,2
1570,0,1,"31-50",39431,646,1.7,0.1008,0,0,1
1571,1,1,"18-30",45497,851,19.7,0.9554,1,1,3
1572,1,1,"31-50",36338,635,10,0.1312,0,0,3
1573,0,1,"31-50",34406,511,1.6,0.0234,0,0,1
1574,1,1,"31-50",30618,574,6.2,0.2425,0,0,3
1575,1,1,"31-50",39142,670,9.7,0.4225,0,0,3
1576,0,0,"51+",41199,645,5.7,0.2938,1,0,0
1577,1,1,"51+",50148,603,9.4,0.6942,1,1,3
1578,1,1,"18-30",29921,710,7,0.6663,0,1,3
1579,1,0,"18-30",37167,631,11.5,0.4607,1,0,2
1580,1,1,"31-50",38806,666,11.3,0.5916,1,1,3
1581,0,0,"31-50",35265,685,10.8,0.6909,0,1,0
1582,1,0,"18-30",29888,686,7.3,0.2366,0,0,2
1583,1,0,"51+",41291,625,1.7,0.5563,0,1,2
1584,1,1,"51+",44118,626,15.5,0.8024,1,1,3
1585,0,0,"18-30",46780,757,5.1,0.8883,1,1,0
1586,0,0,"51+",24823,602,5.1,0.065,0,0,0
1587,0,1,"31-50",38517,772,16.9,0.9466,1,1,1
1588,1,0,"31-50",37474,675,11.9,0.69,0,1,2
1589,1,1,"18-30",26392,696,7.6,0.1802,0,0,3
1590,1,1,"31-50",55737,729,10.8,0.9463,1,1,3
1591,0,1,"18-30",25905,644,8.4,0.2109,0,0,1
1592,0,1,"18-30",28490,617,7.6,0.0941,0,0,1
1593,0,0,"31-50",31562,724,5.1,0.5607,0,1,0
1594,0,0,"18-30",36405,550,12,0.1568,0,0,0
1595,1,0,"31-50",41029,790,10.8,0.9502,1,1,2
1596,1,1,"31-50",27866,758,7.3,0.5782,0,1,3
1597,0,1,"31-50",28139,721,10.1,0.4942,1,0,1
1598,1,0,"31-50",45094,749,8,0.9096,1,1,2
1599,0,0,"18-30",26747,857,7.8,0.6836,1,1,0
1600,1,0,"51+",41727,620,13.9,0.7057,0,1,2
1601,0,0,"51+",34828,754,8.5,0.5943,0,1,0
1602,1,1,"18-30",47469,682,9.5,0.8729,1,1,3
1603,1,1,"18-30",44975,609,11.2,0.6429,0,1,3
1604,0,1,"18-30",36853,601,5,0.168,0,0,1
1605,0,1,"51+",42193,524,2.6,0.0692,0,0,1
1606,1,1,"31-50",42622,745,12.8,0.8447,1,1,3
1607,0,0,"18-30",27414,728,12.1,0.6998,1,1,0
1608,1,1,"18-30",37263,749,11.1,0.7804,0,1,3
1609,0,0,"18-30",28548,778,11.4,0.6478,0,1,0
1610,1,1,"18-30",33972,662,13.6,0.8544,1,1,3
1611,0,0,"51+",43640,699,4.9,0.5189,0,1,0
1612,0,0,"31-50",42034,641,12.5,0.7528,1,1,0
1613,1,1,"31-50",42848,646,8.6,0.7033,0,1,3
1614,0,1,"18-30",34046,606,0,0.1568,0,0,1
1615,0,1,"51+",33908,554,9,0.2648,0,0,1
1616,1,0,"51+",35893,700,9.4,0.4595,0,0,2
1617,0,1,"51+",37907,566,0,0.0671,0,0,1
1618,1,1,"31-50",29126,705,3.9,0.2282,0,0,3
1619,1,1,"31-50",30678,665,3.7,0.42,0,0,3
1620,1,1,"51+",45313,751,6.6,0.8476,1,1,3
1621,1,0,"51+",33347,701,6.8,0.5405,1,1,2
1622,1,1,"51+",46163,595,9.7,0.3473,0,0,3
1623,1,0,"18-30",40757,674,9.8,0.5947,1,1,2
1624,0,0,"31-50",35816,504,0,0.1706,0,0,0
1625,1,0,"31-50",38280,577,7.6,0.1398,0,0,2
1626,0,0,"51+",30140,702,4.5,0.2387,0,0,0
1627,0,1,"51+",47569,730,8.1,0.6633,0,1,1
1628,1,0,"51+",36892,643,7.3,0.1627,1,0,2
1629,0,0,"18-30",53654,610,2.6,0.7566,1,1,0
1630,0,0,"51+",35982,606,4.5,0.117,0,0,0
1631,0,1,"31-50",34336,660,9.4,0.5188,0,1,1
1632,1,1,"31-50",44596,792,6.1,0.8932,1,1,3
1633,1,0,"51+",45854,602,7,0.4171,1,0,2
1634,0,0,"18-30",21247,782,1.3,0.4117,0,0,0
1635,0,0,"31-50",32986,710,6.8,0.5548,1,1,0
1636,0,1,"18-30",35554,619,8.2,0.5403,1,1,1
1637,1,1,"18-30",29701,555,2.8,0.0901,0,0,3
1638,1,1,"31-50",31032,695,16.4,0.7315,0,1,3
1639,1,1,"31-50",35433,757,16,0.9417,1,1,3
1640,0,1,"51+",38304,692,8.3,0.3033,1,0,1
1641,1,0,"31-50",36178,724,11.3,0.8759,1,1,2
1642,0,1,"31-50",26700,579,0.7,0.0546,0,0,1
1643,0,0,"18-30",22059,572,6.8,0.0315,0,0,0
1644,0,0,"18-30",19804,732,8.5,0.2792,0,0,0
1645,1,0,"51+",45714,686,5.4,0.6767,0,1,2
1646,0,0,"31-50",40374,556,0,0.1031,0,0,0
1647,0,1,"31-50",23695,716,6.3,0.2391,0,0,1
1648,0,1,"31-50",25624,530,5.7,0.0129,0,0,1
1649,1,0,"51+",40585,727,7,0.8036,1,1,2
1650,1,1,"51+",56289,546,8.1,0.5716,0,1,3
1651,1,1,"31-50",54082,656,10.6,0.8945,0,1,3
1652,0,1,"31-50",31148,538,8.6,0.1015,0,0,1
1653,1,1,"51+",34105,677,12.7,0.7708,1,1,3
1654,1,1,"31-50",54791,650,8.4,0.8567,1,1,3
1655,1,0,"31-50",51923,568,9.6,0.7567,1,1,2
1656,1,1,"31-50",26822,709,7.1,0.6353,1,1,3
1657,1,1,"51+",30602,804,8.8,0.5519,1,1,3
